"Undersøkelse";"Respondent-ID";"Organisasjon";"Grunnleggende status - E-post sendt";"Grunnleggende status - Skjema skrevet ut";"Grunnleggende status - Bakgrunnsdata er eksportert til brevfletting";"Grunnleggende status - Distribuert via kobling";"Grunnleggende status - Svar importert";"Grunnleggende status - Noen spørsmål besvart";"Grunnleggende status - Siste side vist til respondent";"Grunnleggende status - Opprettet manuelt av administrator";"Grunnleggende status - Opprettet ved import";"Grunnleggende status - Opprettet av inntaster";"Grunnleggende status - Opprettet av respondenten selv";"Grunnleggende status - Opprettet via webtjeneste";"Grunnleggende status - Svar tastet inn av respondent";"Grunnleggende status - Svar tastet inn i administrasjonsgrensesnittet";"Grunnleggende status - Svar innsamlet via intervju";"Grunnleggende status - Svar innsamlet via webtjeneste";"Grunnleggende status - Respondent lukket av intervjuer";"Grunnleggende status - Siste side vist til intervjuer";"Grunnleggende status - Gitt avkall på via returmelding";"Grunnleggende status - Opprettet av import fra prøvegruppe";"Opprettet";"Endret";"Avslutningstidspunkt";"Svartidspunkt";"Svarvarighet (sekunder)";"Svarsesjoner";"Antall returmeldinger";"Importer gruppe";"Tidsplan for datainnsamling";"E-post";"Siste distribusjonsstatus";"Siste distribusjonsfeilmelding";"1. Hvor gammel er du?";"2. Ved hvilket fakultetet studerer du?";"3. Studerer du et IT-fag?";"4. Hva har du lært fra minispillet? (du kan skrive norsk eller engelsk)";"5. Målene med mini-spillene var klare";"6. Jeg var konsentret mens jeg spilte minispillet";"7. Tilbakemeldingene som ble gitt under minispillet var nyttige";"8. Ved å spille dette minispillet, har min kunnskap om de forskjellige synlige og usynlige datatypene bedret seg (økt)";"9. Jeg føler at jeg kan bruke min kunnskap om ulike synlige og usynlige datatyper i nye situasjoner";"10. Jeg vil vite mer om ulike synlige og usynlige datatyper";"11. Det var enkelt å navigere seg gjennom minispillet";"12. Minispillet var tilstrekkelig utfordrende og passet med ferdighets- og kunnskapsnivået mitt";"12a. Hvis ikke tilstrekkelig utfordrende, spillet var";"13. Tiden for å fullføre spørsmålene  var passende";"13a. Hvis tiden var ikke passende, tiden til å svare var";"14. Hvilken av de tre datakategoriene syntes du var vanskeligst å forstå? ";"15. På hvilken måte kan vi forbedre minispillet? (kan skive på norsk eller engelsk)";"Gjennomføringsstatus - Lukket";"Gjennomføringsstatus - Gjennomført";"Gjennomføringsstatus - Avvist via svar-e-post";"Opprettelsesstatus - Opprettet manuelt av administrator";"Opprettelsesstatus - Opprettet ved import av administrator";"Opprettelsesstatus - Opprettet av inntaster";"Opprettelsesstatus - Opprettet av respondent via kobling";"Opprettelsesstatus - Opprettet via webtjeneste";"Opprettelsesstatus - Opprettelsestype ukjent";"Opprettelsesstatus - Importert fra prøvegruppe";"Distribusjonsstatus - Brevfletting";"Distribusjonsstatus - Ingen";"Distribusjonsstatus - E-post";"Distribusjonsstatus - Papir";"Distribusjonsstatus - Selvoppretting med kobling";"Svaropprinnelsesstatus - Svar tastet inn av respondent";"Svaropprinnelsesstatus - Svar tastet inn i administrasjonsgrensesnittet";"Svaropprinnelsesstatus - Svar innsamlet via intervju";"Svaropprinnelsesstatus - Svar importert";"Svaropprinnelsesstatus - Svar innsamlet via webtjeneste";"Svaropprinnelsesstatus - Svaropprinnelse ukjent";"Innsamlingsstatus - Ingen";"Innsamlingsstatus - Noen svar";"Innsamlingsstatus - Gjennomført";"Innsamlingsstatus - Frafalt";"Samlet status - Ny";"Samlet status - Distribuert";"Samlet status - Noen svar";"Samlet status - Gjennomført";"Samlet status - Frafalt"
"DATA ISFJELL";923915792;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-05 13:36:49;2022-09-05 13:40:13;2022-09-05 13:40:13;2022-09-05 13:40:13;0;1;0;;;"";"-";"";"18-29";"Det humanistiske fakultet";"Ja";"hva som kjennetegner ulike former for data";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";;"4 (enig)";;"rådata";"Om man prøver på nytt burde scenarioene komme i endret rekkefølge, slik at man unngår å ubevisst memorisere rekkefølgen.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923752461;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-04 21:43:34;2022-09-04 21:48:39;2022-09-04 21:48:39;2022-09-04 21:48:39;0,003;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Nei";"jeg lærte at det er ulike typer data og at jeg sender ut data oftere en forventet.....lærte også at jeg hater stoppeklokker";"3 (verken uenig / enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"2 (uenig)";"4 (enig)";"5 (helt enig)";"3 (verken uenig / enig)";;"1 (helt uenig)";"for kort";"rådata";"Gi oss mer tid, rak ikke en gang å lese  hele spørsmålet noen ganger. noen folk leser sakte ya know :(  og formuleringen av spørsmålene  kunne trengt lit polish";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923956245;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-05 15:33:36;2022-09-05 15:35:06;2022-09-05 15:35:06;2022-09-05 15:34:52;13,924;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Nei";"Lært om forskjellige typer data og hva som skiller dem";"5 (helt enig)";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";;"4 (enig)";;"analytiske data";"Synes det fungerte bra";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923202570;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-01 13:36:52;2022-09-01 13:41:43;2022-09-01 13:41:43;2022-09-01 13:41:43;0,003;1;0;;;"";"-";"";"18-29";"Det matematisk-naturvitenskapelige fakultet";"Nei";"Har lært å tydeligere skille mellom rådata og analytisk data (synlig og usynlig).";"5 (helt enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";;"5 (helt enig)";;"funksjonelle data";"Kan ha litt flere oppgaver om alt eller bare for å repetere det som ble trykket feil på en gang. Prøvde å trykke relativt fort/var usikker på noen spørsmål som ble feil, hadde likt å få opp nytt eksempel om det for å se om jeg faktisk forsto.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922930444;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 16:39:22;2022-08-31 16:41:47;2022-08-31 16:41:47;2022-08-31 16:41:47;0;1;0;;;"";"-";"";"18-29";"Det matematisk-naturvitenskapelige fakultet";"Nei";"Lært forskjellene mellom usynlige og synlige data, samt forskjellen mellom analytiske- og rådata.";"4 (enig)";"2 (uenig)";"5 (helt enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"5 (helt enig)";"2 (uenig)";"for lett";"3 (verken uenig / enig)";;"analytiske data";"Shorten the descriptions";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923123999;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-01 10:09:21;2022-09-01 10:14:00;2022-09-01 10:14:00;2022-09-01 10:14:00;0,004;1;0;;;"";"-";"";"30-64";"Det psykologiske fakultet";"Nei";"At det ikke alltid er lett å skille mellom synlig og usynlig rå- og analyse-data.";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";;"5 (helt enig)";;"funksjonelle data";"Synes det er passende til min førforståelse og at det passer godt til modulet vi leser om isfjellmetaforen. Ingen forslag til forbedring.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922959646;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 21:39:52;2022-08-31 21:43:16;2022-08-31 21:43:16;2022-08-31 21:43:16;0;1;0;;;"";"-";"";"18-29";"Annet";"Ja";"Jeg har lært alle de 10 forskjellige data-produserende scenarioene, og det gjorde meg mer bevisst på hvor mye data jeg faktisk skaper hver eneste dag.";"5 (helt enig)";"3 (verken uenig / enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";;"5 (helt enig)";;"rådata";"Vet ikke, jeg synes det var bra!";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922848288;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 11:57:40;2022-08-31 12:00:50;2022-08-31 12:00:50;2022-08-31 11:59:27;82,597;1;0;;;"";"-";"";"18-29";"Det matematisk-naturvitenskapelige fakultet";"Nei";"Hvor mye av dataen som fins som ikke kan sees.";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";;"5 (helt enig)";;"analytiske data";"Flere spørsmål enn 10.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923505967;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-02 18:18:47;2022-09-02 18:22:44;2022-09-02 18:22:44;2022-09-02 18:22:44;0;1;0;;;"";"-";"";"18-29";"Det matematisk-naturvitenskapelige fakultet";"Nei";"Hvordan de ulike prosessene jeg gjør, gjerne på internett, omgjøres til data og hvilke data typer det er.";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";;"4 (enig)";;"funksjonelle data";"Muligens forklare spørsmålene etter besvarelse. Gjerne kort slik at man kan forstå det litt bedre selv om man svarer riktig eller galt.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";924824633;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-08 16:19:23;2022-09-08 16:22:07;2022-09-08 16:22:07;2022-09-08 16:22:07;0;1;0;;;"";"-";"";"18-29";"Annet";"Nei";"Det foreligger mye mer data enn det man kan ""se"" (toppen av isfjellet).";"5 (helt enig)";"4 (enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";;"4 (enig)";;"funksjonelle data";"Usikker.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922746325;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-30 18:56:35;2022-08-30 19:03:54;2022-08-30 19:03:54;2022-08-30 19:03:54;0;1;0;;;"";"-";"";"18-29";"Det psykologiske fakultet";"Nei";"At det finnes forskjellige type data, der mye av dataen mer skjult.";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";;"4 (enig)";"for lang";"funksjonelle data";"Spørsmålene kan gjerne gå i tilfeldig rekkefølge. På den måten kan man vite om man kan de forskjellige datakategoriene bedre.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923151144;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-01 11:15:36;2022-09-01 11:20:22;2022-09-01 11:20:22;2022-09-01 11:20:22;0;1;0;;;"";"-";"";"18-29";"Det psykologiske fakultet";"Nei";"Jeg lærte hvor vanskelig det er å skille mellom de ulike typene data, selv om jeg trodde jeg hadde fått oversikt etter å ha lest.";"4 (enig)";"4 (enig)";"4 (enig)";"2 (uenig)";"3 (verken uenig / enig)";"4 (enig)";"5 (helt enig)";"2 (uenig)";"for vanselig";"3 (verken uenig / enig)";"for kort";"funksjonelle data";"Lyden av klokke som tikket for å illustrere at tiden gikk var stressende, og var kanskje med på å ikke klare å konsentrere skikkelig på spørsmålene. Ellers var det greit utformet synes jeg.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
